time,GER30Cash_M5.CSV,POL20Cash_M5.CSV
2018.09.27-09:45,12331.5,2293
2018.09.27-09:50,12333.3,2293
2018.09.27-09:55,12330,2292
2018.09.27-10:00,12330.3,2291
2018.09.27-10:05,12339.8,2293
2018.09.27-10:10,12336.5,2290
2018.09.27-10:15,12329.8,2288
2018.09.27-10:20,12314,2287
2018.09.27-10:25,12296.8,2290
2018.09.27-10:30,12289.3,2292
2018.09.27-10:35,12293,2294
2018.09.27-10:40,12284.8,2293
2018.09.27-10:45,12278.5,2289
2018.09.27-10:50,12279.5,2282
2018.09.27-10:55,12277.3,2282
2018.09.27-11:00,12297,2285
2018.09.27-11:05,12291,2284
2018.09.27-11:10,12310,2286
2018.09.27-11:15,12329,2289
2018.09.27-11:20,12320.8,2288
2018.09.27-11:25,12332.3,2290
2018.09.27-11:30,12320.5,2289
2018.09.27-11:35,12319.8,2289
2018.09.27-11:40,12316.5,2289
2018.09.27-11:45,12312.8,2288
2018.09.27-11:50,12319.5,2289
2018.09.27-11:55,12312.8,2288
2018.09.27-12:05,12308.3,2287
2018.09.27-12:10,12316.5,2288
2018.09.27-12:15,12325.5,2288
2018.09.27-12:20,12330.5,2291
2018.09.27-12:25,12328,2293
2018.09.27-12:30,12331.5,2293
2018.09.27-12:35,12324.5,2292
2018.09.27-12:40,12316.5,2292
2018.09.27-12:45,12327.3,2293
2018.09.27-12:50,12319.5,2292
2018.09.27-12:55,12325.3,2293
2018.09.27-13:00,12331,2294
2018.09.27-13:05,12334,2295
2018.09.27-13:10,12360.5,2296
2018.09.27-13:15,12362.8,2296
2018.09.27-13:20,12361.8,2296
2018.09.27-13:25,12357.3,2296
2018.09.27-13:30,12351,2296
2018.09.27-13:35,12355.5,2296
2018.09.27-13:40,12364.5,2296
2018.09.27-13:45,12370.8,2297
2018.09.27-13:50,12367.5,2296
2018.09.27-13:55,12368.5,2296
2018.09.27-14:00,12367.5,2295
2018.09.27-14:05,12367.5,2295
2018.09.27-14:10,12367.3,2296
2018.09.27-14:15,12365,2295
2018.09.27-14:25,12378,2298
2018.09.27-14:30,12381.5,2298
2018.09.27-14:35,12380.5,2298
2018.09.27-14:40,12379.8,2299
2018.09.27-14:45,12380.5,2298
2018.09.27-14:50,12371.5,2297
2018.09.27-14:55,12368,2297
2018.09.27-15:00,12370,2299
2018.09.27-15:05,12379,2298
2018.09.27-15:10,12380.5,2298
2018.09.27-15:15,12382,2298
2018.09.27-15:20,12383.5,2298
2018.09.27-15:25,12385.5,2298
2018.09.27-15:30,12379.5,2298
2018.09.27-15:35,12398,2302
2018.09.27-15:40,12395,2299
2018.09.27-15:45,12423.5,2305
2018.09.27-15:50,12423,2304
2018.09.27-15:55,12422.8,2307
2018.09.27-16:00,12428.5,2305
2018.09.27-16:05,12427.5,2306
2018.09.27-16:10,12423.5,2304
2018.09.27-16:15,12408.5,2303
2018.09.27-16:20,12406.5,2303
2018.09.27-16:25,12409.5,2304
2018.09.27-16:30,12409,2303
2018.09.27-16:35,12410,2305
2018.09.27-16:40,12413.3,2306
2018.09.27-16:45,12414.8,2304
2018.09.27-16:50,12415,2303
2018.09.27-16:55,12416.3,2303
2018.09.27-17:00,12420.8,2306
2018.09.27-17:05,12420,2304
2018.09.27-17:10,12415.8,2304
2018.09.27-17:15,12414,2304
2018.09.27-17:20,12425.8,2306
2018.09.27-17:25,12435.8,2310
2018.09.27-17:30,12434,2313
2018.09.27-17:35,12439.8,2313
2018.09.27-17:40,12446,2309
2018.09.27-17:45,12451.8,2305
2018.09.28-09:45,12402,2302
2018.09.28-09:50,12399.5,2301
2018.09.28-09:55,12392,2299
2018.09.28-10:00,12380.3,2301
2018.09.28-10:05,12370.8,2300
2018.09.28-10:10,12376,2301
2018.09.28-10:15,12391.3,2303
2018.09.28-10:20,12381.3,2302
2018.09.28-10:25,12362.8,2304
2018.09.28-10:30,12365.5,2306
2018.09.28-10:35,12363.8,2305
2018.09.28-10:40,12360.5,2305
2018.09.28-10:45,12343,2300
2018.09.28-10:50,12329.3,2299
2018.09.28-10:55,12335,2297
2018.09.28-11:00,12343.8,2300
2018.09.28-11:05,12349.5,2300
2018.09.28-11:10,12352,2303
2018.09.28-11:15,12345,2299
2018.09.28-11:20,12330,2299
2018.09.28-11:25,12343.3,2298
2018.09.28-11:30,12356.8,2302
2018.09.28-11:35,12352,2301
2018.09.28-11:40,12350.8,2301
2018.09.28-11:45,12352,2302
2018.09.28-11:50,12356.5,2301
2018.09.28-11:55,12352,2300
2018.09.28-12:00,12343.8,2301
2018.09.28-12:05,12352,2299
2018.09.28-12:10,12351.5,2300
2018.09.28-12:15,12349.8,2301
2018.09.28-12:20,12347.5,2303
2018.09.28-12:25,12348.3,2304
2018.09.28-12:30,12346.5,2303
2018.09.28-12:35,12349.5,2303
2018.09.28-12:40,12353,2302
2018.09.28-12:45,12346.5,2301
2018.09.28-12:50,12348,2301
2018.09.28-12:55,12343,2300
2018.09.28-13:00,12340.5,2302
2018.09.28-13:05,12331.5,2299
2018.09.28-13:15,12254.8,2292
2018.09.28-13:20,12256,2288
2018.09.28-13:25,12264.5,2287
2018.09.28-13:30,12255.5,2286
2018.09.28-13:35,12260.5,2288
2018.09.28-13:40,12267.5,2288
2018.09.28-13:45,12286.5,2287
2018.09.28-13:50,12275.5,2287
2018.09.28-13:55,12278.3,2287
2018.09.28-14:00,12260.3,2284
2018.09.28-14:05,12262,2280
2018.09.28-14:10,12267.5,2279
2018.09.28-14:15,12247.5,2274
2018.09.28-14:20,12251.3,2275
2018.09.28-14:25,12254.5,2276
2018.09.28-14:30,12245.5,2275
2018.09.28-14:35,12236,2273
2018.09.28-14:40,12227,2272
2018.09.28-14:45,12203.5,2268
2018.09.28-14:50,12219.5,2269
2018.09.28-14:55,12225.5,2272
2018.09.28-15:00,12223.8,2267
2018.09.28-15:05,12223,2266
2018.09.28-15:10,12211.5,2264
2018.09.28-15:15,12199,2258
2018.09.28-15:20,12203.8,2261
2018.09.28-15:25,12204,2260
2018.09.28-15:30,12214.5,2261
2018.09.28-15:35,12214.3,2261
2018.09.28-15:40,12217.8,2263
2018.09.28-15:45,12213.8,2263
2018.09.28-15:50,12205.5,2263
2018.09.28-15:55,12207.5,2266
2018.09.28-16:00,12220.5,2268
2018.09.28-16:05,12228.3,2267
2018.09.28-16:10,12220,2262
2018.09.28-16:15,12216.8,2264
2018.09.28-16:20,12212.5,2263
2018.09.28-16:25,12220,2265
2018.09.28-16:30,12229.3,2270
2018.09.28-16:35,12236.8,2269
2018.09.28-16:40,12226.5,2270
2018.09.28-16:45,12225,2270
2018.09.28-16:50,12233,2271
2018.09.28-16:55,12234,2273
2018.09.28-17:00,12237,2273
2018.09.28-17:05,12236.5,2276
2018.09.28-17:10,12231.5,2274
2018.09.28-17:15,12253.3,2277
2018.09.28-17:20,12250.5,2277
2018.09.28-17:25,12253.8,2279
2018.09.28-17:30,12254.5,2276
2018.09.28-17:35,12268,2276
2018.09.28-17:40,12263.8,2280
2018.09.28-17:45,12262,2283
2018.10.01-09:45,12257.8,2293
2018.10.01-09:50,12258.8,2291
2018.10.01-09:55,12264,2291
2018.10.01-10:00,12278.5,2291
2018.10.01-10:05,12291.5,2290
2018.10.01-10:10,12276,2292
2018.10.01-10:15,12284.5,2292
2018.10.01-10:20,12286,2293
2018.10.01-10:25,12291.3,2295
2018.10.01-10:30,12290,2296
2018.10.01-10:35,12297.5,2301
2018.10.01-10:40,12314.8,2305
2018.10.01-10:45,12315.5,2305
2018.10.01-10:50,12315.5,2302
2018.10.01-10:55,12316,2302
2018.10.01-11:00,12313.3,2302
2018.10.01-11:05,12320.5,2308
2018.10.01-11:10,12316.5,2310
2018.10.01-11:15,12323.5,2313
2018.10.01-11:20,12326,2312
2018.10.01-11:25,12325,2311
2018.10.01-11:30,12324,2310
2018.10.01-11:35,12325.5,2308
2018.10.01-11:40,12330.5,2312
2018.10.01-11:45,12334.5,2313
2018.10.01-11:50,12341,2310
2018.10.01-11:55,12335,2313
2018.10.01-12:00,12335.5,2316
2018.10.01-12:05,12335.5,2317
2018.10.01-12:10,12334.5,2322
2018.10.01-12:15,12323.5,2320
2018.10.01-12:20,12322.5,2319
2018.10.01-12:25,12331.5,2320
2018.10.01-12:30,12334,2320
2018.10.01-12:35,12328,2318
2018.10.01-12:40,12331,2317
2018.10.01-12:45,12330.5,2313
2018.10.01-12:50,12331,2313
2018.10.01-12:55,12332.3,2315
2018.10.01-13:00,12330,2313
2018.10.01-13:05,12329,2312
2018.10.01-13:10,12326,2309
2018.10.01-13:15,12317.5,2308
2018.10.01-13:20,12314.5,2308
2018.10.01-13:25,12318.5,2310
2018.10.01-13:30,12306.3,2307
2018.10.01-13:35,12312.3,2303
2018.10.01-13:40,12316.8,2304
2018.10.01-13:45,12318.5,2303
2018.10.01-13:50,12320,2303
2018.10.01-13:55,12319,2305
2018.10.01-14:00,12315.5,2302
2018.10.01-14:05,12320.3,2300
2018.10.01-14:10,12316.5,2301
2018.10.01-14:15,12314,2302
2018.10.01-14:20,12316.5,2303
2018.10.01-14:25,12318,2304
2018.10.01-14:30,12317,2302
2018.10.01-14:35,12316,2302
2018.10.01-14:40,12304.8,2297
2018.10.01-14:45,12301.5,2295
2018.10.01-14:50,12305.5,2298
2018.10.01-14:55,12308.8,2298
2018.10.01-15:00,12313,2299
2018.10.01-15:10,12308.8,2302
2018.10.01-15:15,12306.5,2299
2018.10.01-15:20,12311.5,2300
2018.10.01-15:25,12328.5,2303
2018.10.01-15:30,12327.5,2303
2018.10.01-15:35,12334,2302
2018.10.01-15:40,12347,2306
2018.10.01-15:45,12357.3,2308
2018.10.01-15:50,12355.5,2305
2018.10.01-15:55,12350.5,2305
2018.10.01-16:00,12353.8,2306
2018.10.01-16:05,12353.8,2303
2018.10.01-16:10,12352.5,2300
2018.10.01-16:15,12354,2300
2018.10.01-16:20,12354.8,2298
2018.10.01-16:25,12353.8,2300
2018.10.01-16:30,12347,2301
2018.10.01-16:35,12334.8,2300
2018.10.01-16:40,12343,2299
2018.10.01-16:45,12345.3,2297
2018.10.01-16:50,12342,2296
2018.10.01-16:55,12351.5,2298
2018.10.01-17:00,12352,2292
2018.10.01-17:05,12370.3,2294
2018.10.01-17:10,12361.8,2291
2018.10.01-17:15,12354,2284
2018.10.01-17:20,12359,2281
2018.10.01-17:25,12362.8,2283
2018.10.01-17:30,12358.8,2282
2018.10.01-17:35,12344,2283
2018.10.01-17:40,12338,2281
2018.10.01-17:45,12326,2280
2018.10.02-09:45,12263.3,2264
2018.10.02-09:50,12263.5,2262
2018.10.02-09:55,12258,2261
2018.10.02-10:00,12232,2261
2018.10.02-10:05,12239.3,2258
2018.10.02-10:10,12249,2260
2018.10.02-10:15,12282.5,2260
2018.10.02-10:20,12259.8,2259
2018.10.02-10:25,12249.5,2259
2018.10.02-10:30,12276,2261
2018.10.02-10:35,12274.5,2262
2018.10.02-10:40,12275.8,2261
2018.10.02-10:45,12277.5,2263
2018.10.02-10:50,12295,2264
2018.10.02-10:55,12296,2270
2018.10.02-11:00,12287.3,2266
2018.10.02-11:05,12271.3,2265
2018.10.02-11:10,12275,2263
2018.10.02-11:15,12263.5,2265
2018.10.02-11:20,12251.5,2261
2018.10.02-11:25,12232.5,2259
2018.10.02-11:30,12230,2257
2018.10.02-11:35,12244,2260
2018.10.02-11:40,12234.3,2261
2018.10.02-11:45,12208.5,2256
2018.10.02-11:50,12224.8,2257
2018.10.02-11:55,12225.8,2256
2018.10.02-12:00,12213,2254
2018.10.02-12:05,12220.3,2257
2018.10.02-12:10,12216.5,2255
2018.10.02-12:15,12215.5,2256
2018.10.02-12:20,12228.5,2260
2018.10.02-12:25,12229,2259
2018.10.02-12:30,12216.5,2258
2018.10.02-12:35,12224.8,2260
2018.10.02-12:40,12230,2260
2018.10.02-12:45,12225.8,2258
2018.10.02-12:50,12232.5,2260
2018.10.02-12:55,12231.5,2259
2018.10.02-13:00,12233.5,2258
2018.10.02-13:05,12262.5,2261
2018.10.02-13:10,12252,2260
2018.10.02-13:15,12248.8,2260
2018.10.02-13:20,12249,2262
2018.10.02-13:25,12244,2261
2018.10.02-13:30,12236.3,2258
2018.10.02-13:35,12236.8,2258
2018.10.02-13:40,12240.8,2259
2018.10.02-13:45,12238.5,2261
2018.10.02-13:50,12239,2260
2018.10.02-13:55,12240.5,2260
2018.10.02-14:00,12253.8,2267
2018.10.02-14:05,12256,2270
2018.10.02-14:10,12259.3,2270
2018.10.02-14:15,12255,2269
2018.10.02-14:20,12241.3,2267
2018.10.02-14:25,12241,2268
2018.10.02-14:30,12248.3,2270
2018.10.02-14:35,12252.8,2271
2018.10.02-14:40,12254,2271
2018.10.02-14:45,12261,2272
2018.10.02-14:50,12263,2271
2018.10.02-14:55,12262,2271
2018.10.02-15:00,12261,2273
2018.10.02-15:05,12265.3,2274
2018.10.02-15:10,12269.5,2277
2018.10.02-15:15,12266,2272
2018.10.02-15:20,12260.8,2271
2018.10.02-15:25,12256.5,2270
2018.10.02-15:30,12259,2269
2018.10.02-15:35,12247.3,2267
2018.10.02-15:40,12255.8,2267
2018.10.02-15:45,12260.3,2269
2018.10.02-15:50,12268.5,2270
2018.10.02-15:55,12264,2268
2018.10.02-16:00,12262.5,2271
2018.10.02-16:05,12254,2270
2018.10.02-16:10,12254.5,2273
2018.10.02-16:15,12253.5,2273
2018.10.02-16:20,12249.5,2274
2018.10.02-16:25,12254.3,2275
2018.10.02-16:30,12259,2276
2018.10.02-16:35,12259,2274
2018.10.02-16:40,12275.5,2277
2018.10.02-16:45,12269.3,2277
2018.10.02-16:50,12251.5,2274
2018.10.02-16:55,12252.3,2271
2018.10.02-17:00,12262.3,2272
2018.10.02-17:05,12246.3,2270
2018.10.02-17:10,12261.3,2272
2018.10.02-17:15,12251.5,2272
2018.10.02-17:20,12250.5,2270
2018.10.02-17:25,12262,2271
2018.10.02-17:30,12248.8,2274
2018.10.02-17:35,12247.5,2275
2018.10.02-17:40,12247,2276
2018.10.02-17:45,12256.3,2278
2018.10.04-09:45,12247.8,2285
2018.10.04-09:50,12250.3,2285
2018.10.04-09:55,12253.5,2283
2018.10.04-10:00,12269.5,2280
2018.10.04-10:05,12274.5,2280
2018.10.04-10:10,12263.8,2275
2018.10.04-10:15,12243.5,2276
2018.10.04-10:20,12240,2277
2018.10.04-10:25,12202.3,2273
2018.10.04-10:30,12190.5,2272
2018.10.04-10:35,12206,2273
2018.10.04-10:40,12202.5,2274
2018.10.04-10:45,12207,2273
2018.10.04-10:50,12237.8,2275
2018.10.04-10:55,12243,2275
2018.10.04-11:00,12234,2275
2018.10.04-11:05,12233.8,2274
2018.10.04-11:10,12239,2276
2018.10.04-11:15,12232,2275
2018.10.04-11:25,12232,2276
2018.10.04-11:30,12241,2277
2018.10.04-11:35,12239.5,2278
2018.10.04-11:40,12239.5,2277
2018.10.04-11:45,12248,2278
2018.10.04-11:50,12262.8,2280
